job_link,platform,job_title,location,job_employment_type,job_maturity,job_min_salary,job_max_salary,job_salary_period,job_description,employer_name,employer_rating
https://www.indeed.com/viewjob?jk=bf93825db3564859,Indeed,Senior ML Infrastructure Engineer,Glasgow,Full-Time,6 days ago,,,,Open link to read requirements.,Chemify Ltd,
https://www.indeed.com/viewjob?jk=cc0c400c41e90c81,Indeed,Senior Data Engineer,Glasgow,Full-Time,1 day ago,,,,Open link to read requirements.,Barclays,
https://www.indeed.com/viewjob?jk=bf58a90440ea9086,Indeed,Data Engineer & Tracking Lead (6 month FTC),Lomond,Full-Time,1 day ago,,,,Open link to read requirements.,Ooni,
https://www.indeed.com/viewjob?jk=e000868457d0c6d5,Indeed,Research Associate - Ecosystem Modeller for VALMAS,Glasgow,Full-Time,8 days ago,,,,Open link to read requirements.,University of Strathclyde,
https://www.indeed.com/viewjob?jk=bc4ae47c1a15a71c,Indeed,"Senior Lead Software Engineer - Python, Data, Cloud, AIML",Glasgow G2,Full-Time,12 days ago,,,,Open link to read requirements.,JPMorganChase,
https://www.indeed.com/viewjob?jk=07d39a64d3896512,Indeed,Master Data & Governance Lead,Uddingston G71 5PD,Full-Time,5 days ago,,,,Open link to read requirements.,Macphie Ltd,
https://www.indeed.com/viewjob?jk=41e209529aea629f,Indeed,Senior FP&A Analyst,Glasgow PA4,Full-Time,7 days ago,,,,Open link to read requirements.,SSE,
https://www.indeed.com/viewjob?jk=66a9eaacbe501590,Indeed,Project Architect - WSP Architecture,Glasgow,Full-Time,8 days ago,,,,Open link to read requirements.,WSP,
https://www.indeed.com/viewjob?jk=d47d36f33643849d,Indeed,Finance Data Sourcing AVP/Director,Glasgow,Full-Time,12 days ago,,,,Open link to read requirements.,Morgan Stanley,
https://www.indeed.com/viewjob?jk=c4ddfbc84e05c242,Indeed,C# Developer,Glasgow,Full-Time,6 days ago,,,,Open link to read requirements.,Barclays,
https://www.indeed.com/viewjob?jk=a86e3dd0e1cddb55,Indeed,Data Developer,Glasgow,Full-Time,6 days ago,,,,Open link to read requirements.,Barclays,
