job_link,platform,job_title,location,job_employment_type,job_maturity,job_min_salary,job_max_salary,job_salary_period,job_description,employer_name,employer_rating
https://www.linkedin.com/jobs/view/4419251250,LinkedIn,Data Analyst,"London Area, United Kingdom",None,Recent,,,,Open target link to view core requirements.,HDI Global SE,
https://www.linkedin.com/jobs/view/4423953301,LinkedIn,Data Analyst,"London, England, UK",None,Recent,,,,Open target link to view core requirements.,Harnham,
https://www.linkedin.com/jobs/view/4422358276,LinkedIn,Operations Data Analyst,"Milton Keynes, England, UK",None,Recent,,,,Open target link to view core requirements.,JD.COM,
https://www.linkedin.com/jobs/view/4422386602,LinkedIn,Pricing Analyst,"Guildford, England, UK",None,Recent,,,,Open target link to view core requirements.,Allianz UK,
https://www.linkedin.com/jobs/view/4423906676,LinkedIn,Reporting & Data Analyst,"Chatham, England, UK",None,Recent,,,,Open target link to view core requirements.,Lloyd's,
https://www.linkedin.com/jobs/view/4424096713,LinkedIn,Data Analyst,"London, England, UK",None,Recent,,,,Open target link to view core requirements.,Client Server,
https://www.linkedin.com/jobs/view/4410199907,LinkedIn,Data Analyst III,"London, England, UK",None,Recent,,,,Open target link to view core requirements.,Fanatics,
https://www.linkedin.com/jobs/view/4393886820,LinkedIn,Data Analyst (Payments),"London, England, UK",None,Recent,,,,Open target link to view core requirements.,Teya,
https://www.linkedin.com/jobs/view/4424051778,LinkedIn,Data Analyst,"London, England, UK",None,Recent,,,,Open target link to view core requirements.,Harnham,
https://www.linkedin.com/jobs/view/4422911557,LinkedIn,Trading Data Analyst - Risk & Client Analytics,"London Area, United Kingdom",None,Recent,,,,Open target link to view core requirements.,Finalto,
https://www.linkedin.com/jobs/view/4392118492,LinkedIn,"Data Analyst, Growth","London, England, UK",None,Recent,,,,Open target link to view core requirements.,Kraken,
https://www.linkedin.com/jobs/view/4420136161,LinkedIn,Analytics Analyst (Metals and Mining),"London, England, UK",None,Recent,,,,Open target link to view core requirements.,Fastmarkets,
https://www.linkedin.com/jobs/view/4422308687,LinkedIn,Data Engineer,"Manchester, England, UK",None,Recent,,,,Open target link to view core requirements.,Anaplan,
https://www.linkedin.com/jobs/view/4419263201,LinkedIn,Data Engineer,"Manchester, England, UK",None,Recent,,,,Open target link to view core requirements.,AJ Bell,
https://www.linkedin.com/jobs/view/4419277510,LinkedIn,Data Engineer,"Harrogate, England, UK",None,Recent,,,,Open target link to view core requirements.,Bettys & Taylors of Harrogate,
https://www.linkedin.com/jobs/view/4419296830,LinkedIn,Data Engineer - AI,"Manchester, England, UK",None,Recent,,,,Open target link to view core requirements.,IBM,
https://www.linkedin.com/jobs/view/4419289672,LinkedIn,Data Engineer,Manchester,None,Recent,,,,Open target link to view core requirements.,Bentley Systems,
https://www.linkedin.com/jobs/view/4422432311,LinkedIn,Data and Reporting Engineer,"Blythe Bridge, England, UK",None,Recent,,,,Open target link to view core requirements.,The Hadleigh Timber Group Limited,
https://www.linkedin.com/jobs/view/3930442053,LinkedIn,Data Engineer,Manchester,None,Recent,,,,Open target link to view core requirements.,Prima,
https://www.linkedin.com/jobs/view/4371835655,LinkedIn,Data Engineer,"Manchester, England, UK",None,Recent,,,,Open target link to view core requirements.,Arrow Global Group,
https://www.linkedin.com/jobs/view/4422902044,LinkedIn,Senior Analytics Engineer,"Manchester, England, UK",None,Recent,,,,Open target link to view core requirements.,City Football Group,
https://www.linkedin.com/jobs/view/4404849633,LinkedIn,Senior Analytics Engineer,Manchester,None,Recent,,,,Open target link to view core requirements.,SoSafe,
https://www.linkedin.com/jobs/view/4422964690,LinkedIn,Data Engineer,"Manchester Area, United Kingdom",None,Recent,,,,Open target link to view core requirements.,Lorien,
https://www.linkedin.com/jobs/view/4424070698,LinkedIn,Data Engineer,"Oldham, England, UK",None,Recent,,,,Open target link to view core requirements.,First Choice Homes Oldham,
https://www.linkedin.com/jobs/view/4422698337,LinkedIn,Data Engineer (AWS),"Manchester, England, UK",None,Recent,,,,Open target link to view core requirements.,Tact,
https://www.linkedin.com/jobs/view/4420119097,LinkedIn,Data Engineer,"Manchester Area, United Kingdom",None,Recent,,,,Open target link to view core requirements.,Women in Data®,
https://www.linkedin.com/jobs/view/4424244722,LinkedIn,Senior Data Engineer,"Lancashire, England, UK",None,Recent,,,,Open target link to view core requirements.,Victrex,
https://www.linkedin.com/jobs/view/4422361559,LinkedIn,Freelance Data Science Engineer (Python & SQL),"Manchester, England, UK",None,Recent,,,,Open target link to view core requirements.,Mindrift,
https://www.linkedin.com/jobs/view/4419290082,LinkedIn,Freelance Data Science Engineer (Python & SQL),Manchester,None,Recent,,,,Open target link to view core requirements.,Mindrift,
https://www.linkedin.com/jobs/view/4419631355,LinkedIn,Data Engineer,Manchester,None,Recent,,,,Open target link to view core requirements.,Broaden,
https://www.linkedin.com/jobs/view/4422980598,LinkedIn,Data Engineer,"Manchester Area, United Kingdom",None,Recent,,,,Open target link to view core requirements.,Loop Recruitment,
https://www.linkedin.com/jobs/view/4422949290,LinkedIn,Data Engineer,Manchester,None,Recent,,,,Open target link to view core requirements.,Athsai,
https://www.linkedin.com/jobs/view/4420129507,LinkedIn,Data Engineer,"Manchester, England, UK",None,Recent,,,,Open target link to view core requirements.,MRJ Recruitment,
https://www.linkedin.com/jobs/view/4419229985,LinkedIn,Business Intelligence Specialist,"Liverpool, England, UK",None,Recent,,,,Open target link to view core requirements.,Infinity Quest,
https://www.linkedin.com/jobs/view/4422424145,LinkedIn,Senior Data Analyst,"Manchester, England, UK",None,Recent,,,,Open target link to view core requirements.,Qodea,
https://www.linkedin.com/jobs/view/4423971746,LinkedIn,Senior Data Analyst,Manchester,None,Recent,,,,Open target link to view core requirements.,British Gas,
https://www.linkedin.com/jobs/view/4422381229,LinkedIn,Online Data Analyst - English (UK),Manchester,None,Recent,,,,Open target link to view core requirements.,TELUS Digital,
https://www.linkedin.com/jobs/view/4423932178,LinkedIn,Customer Insights Analyst,"Darwen, England, UK",None,Recent,,,,Open target link to view core requirements.,Harnham,
https://www.linkedin.com/jobs/view/4423271351,LinkedIn,Business Intelligence Analyst,"Blackburn, England, UK",None,Recent,,,,Open target link to view core requirements.,onlyFE,
https://www.linkedin.com/jobs/view/4408828871,LinkedIn,Data Analyst,"Manchester Area, United Kingdom",None,Recent,,,,Open target link to view core requirements.,Airtime,
https://www.linkedin.com/jobs/view/4424202043,LinkedIn,Data Analyst (Contract),Manchester,None,Recent,,,,Open target link to view core requirements.,Digital Waffle,
https://www.linkedin.com/jobs/view/4422981232,LinkedIn,Data Analyst (Remote),Manchester,None,Recent,,,,Open target link to view core requirements.,Hired,
https://www.linkedin.com/jobs/view/4424080207,LinkedIn,Data Analyst,"Ashton-Under-Lyne, England, UK",None,Recent,,,,Open target link to view core requirements.,Talent,
https://www.linkedin.com/jobs/view/4422964847,LinkedIn,Data Analyst (Remote),Manchester,None,Recent,,,,Open target link to view core requirements.,Hired,
https://www.linkedin.com/jobs/view/4422964599,LinkedIn,Data Analyst,"Leeds, England, UK",None,Recent,,,,Open target link to view core requirements.,Pharmacy2U | Certified B Corp,
